# Logfile created on 2026-03-26 17:46:13 +0100 by logger.rb/v1.5.3
2026-03-26 17:46:14 +0100: Memory Usage (442836K) : metal3_slit has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (442836K) : metal3_text has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (442964K) : metal3_opc has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (442964K) : metal3_noqrc has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443092K) : metal3_res has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443092K) : metal3_iprobe has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443092K) : metal3_diffprb has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443220K) : nwell_drw has 4 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443348K) : nwell_pin has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443348K) : nbulay_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443476K) : nbulay_pin has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443476K) : nbulay_block has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443476K) : emwind_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443604K) : emwind_opc has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443732K) : deepco_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443732K) : deepco_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443860K) : mim_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443988K) : edgeseal_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (443988K) : edgeseal_bound has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444116K) : substrate_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444116K) : substrate_text has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444116K) : dfpad_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444244K) : dfpad_pillar has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444244K) : dfpad_sbump has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444372K) : thickgateox_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444372K) : pldb_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444372K) : pwell_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444500K) : pwell_pin has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444500K) : pwell_block has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444628K) : ic_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444628K) : via3_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444756K) : metal4_drw has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444884K) : metal4_pin has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444884K) : metal4_mask has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (444884K) : metal4_filler has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445012K) : metal4_nofill has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445012K) : metal4_slit has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445140K) : metal4_text has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445140K) : metal4_opc has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445268K) : metal4_noqrc has 0 polygons
2026-03-26 17:46:14 +0100: Memory Usage (445268K) : metal4_res has 0 polygons
