# Logfile created on 2026-03-26 17:48:01 +0100 by logger.rb/v1.5.3
2026-03-26 17:48:01 +0100: Memory Usage (447676K) : recog_esd has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447676K) : recog_diode has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447804K) : recog_tsv has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447804K) : recog_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447804K) : recog_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447932K) : recog_pillar has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447932K) : recog_sbump has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447932K) : recog_otp has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (447932K) : recog_pdiode has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448060K) : recog_mom has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448060K) : recog_pcm has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448060K) : colopen_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448188K) : graphmetal1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448188K) : graphmetal1_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448316K) : graphmetal1_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448316K) : graphmetal1_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448444K) : graphmetal1_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448444K) : graphmet1l_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448444K) : graphmet1l_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448572K) : graphmet1l_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448572K) : graphmet1l_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448700K) : graphmet1l_opc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448700K) : extblock_drw has 105 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448828K) : nldd_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448828K) : pldd_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448828K) : next_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448956K) : pext_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448956K) : nexthv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (448956K) : pexthv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449084K) : graphgate_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449084K) : sinwg_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449084K) : sinwg_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449212K) : sinwg_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449212K) : mempad_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449212K) : topvia1_drw has 9 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449340K) : topmetal1_drw has 14 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449340K) : topmetal1_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449468K) : topmetal1_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449468K) : topmetal1_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449468K) : topmetal1_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449596K) : topmetal1_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449596K) : topmetal1_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449724K) : topmetal1_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449724K) : topmetal1_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449724K) : topmetal1_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449852K) : topmetal1_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449852K) : inldpwl_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449980K) : polyres_drw has 35 polygons
2026-03-26 17:48:01 +0100: Memory Usage (449980K) : polyres_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450108K) : vmim_drw has 6773 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450236K) : nbulaycut_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450236K) : antmetal1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450364K) : topvia2_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450364K) : topmetal2_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450492K) : topmetal2_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450492K) : topmetal2_mask has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450492K) : topmetal2_filler has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450620K) : topmetal2_nofill has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450620K) : topmetal2_slit has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450748K) : topmetal2_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450748K) : topmetal2_noqrc has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450748K) : topmetal2_res has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450876K) : topmetal2_iprobe has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (450876K) : topmetal2_diffprb has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451004K) : snsring_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451004K) : sensor_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451132K) : snsarms_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451132K) : snscmosvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451132K) : colwind_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451132K) : flm_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451260K) : hafniumox_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451260K) : memvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451260K) : thinfilmres_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451388K) : rfmem_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451388K) : norcx_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451388K) : norcx_m2m3 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451516K) : norcx_m2m4 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451516K) : norcx_m2m5 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451516K) : norcx_m2tm1 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451644K) : norcx_m2tm2 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451644K) : norcx_m3m4 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451644K) : norcx_m3m5 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451644K) : norcx_m3tm1 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451772K) : norcx_m3tm2 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451772K) : norcx_m4m5 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451772K) : norcx_m4tm1 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451900K) : norcx_m4tm2 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451900K) : norcx_m5tm1 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (451900K) : norcx_m5tm2 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452028K) : norcx_tm1tm2 has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452028K) : norcx_m1sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452028K) : norcx_m2sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452028K) : norcx_m3sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452156K) : norcx_m4sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452156K) : norcx_m5sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452156K) : norcx_tm1sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452284K) : norcx_tm2sub has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452284K) : snsbotvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452284K) : snstopvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452412K) : deepvia_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452412K) : fgetch_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452540K) : ctrgat_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452540K) : fgimp_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452540K) : emwihv_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452668K) : lbe_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452668K) : alcustop_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452796K) : nometfiller_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452796K) : prboundary_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange0_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange0_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange0_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange1_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange1_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange1_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange2_drw has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange2_pin has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (452924K) : exchange2_text has 0 polygons
2026-03-26 17:48:01 +0100: Memory Usage (453052K) : exchange3_drw has 0 polygons
