# Logfile created on 2026-03-26 17:50:45 +0100 by logger.rb/v1.5.3
2026-03-26 17:50:45 +0100: Memory Usage (445560K) : digisub_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445688K) : nodrc_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445688K) : text_drw has 13 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445816K) : via4_drw has 130 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445816K) : metal5_drw has 27 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445816K) : metal5_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445944K) : metal5_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (445944K) : metal5_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446072K) : metal5_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446072K) : metal5_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446200K) : metal5_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446200K) : metal5_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446200K) : metal5_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446328K) : metal5_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446328K) : metal5_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446456K) : metal5_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446456K) : radhard_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446584K) : memcap_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446712K) : varicap_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446712K) : flash_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446840K) : intbondvia_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446840K) : intbondmet_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446968K) : devbondvia_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (446968K) : devbondmet_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447096K) : devtrench_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447096K) : redist_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447096K) : graphbot_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447224K) : graphtop_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447224K) : antvia1_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447352K) : antmetal2_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447352K) : graphcont_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447480K) : siwg_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447480K) : siwg_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447480K) : siwg_nofill has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447608K) : sigrating_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447736K) : singrating_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447736K) : graphpas_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447864K) : emwind3_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447864K) : emwihv3_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447992K) : redbulay_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447992K) : smos_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (447992K) : graphpad_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448120K) : polimide_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448120K) : polimide_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448248K) : recog_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448248K) : recog_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448376K) : recog_esd has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448376K) : recog_diode has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448504K) : recog_tsv has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448504K) : recog_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448632K) : recog_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448632K) : recog_pillar has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448760K) : recog_sbump has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448760K) : recog_otp has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448888K) : recog_pdiode has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448888K) : recog_mom has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448888K) : recog_pcm has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (448888K) : colopen_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449016K) : graphmetal1_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449016K) : graphmetal1_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449016K) : graphmetal1_nofill has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449144K) : graphmetal1_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449144K) : graphmetal1_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449144K) : graphmet1l_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449144K) : graphmet1l_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449272K) : graphmet1l_nofill has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449272K) : graphmet1l_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449272K) : graphmet1l_opc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449400K) : extblock_drw has 3 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449400K) : nldd_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449400K) : pldd_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449528K) : next_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449528K) : pext_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449528K) : nexthv_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449656K) : pexthv_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449656K) : graphgate_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449784K) : sinwg_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449784K) : sinwg_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449912K) : sinwg_nofill has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449912K) : mempad_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (449912K) : topvia1_drw has 129 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450040K) : topmetal1_drw has 27 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450040K) : topmetal1_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450168K) : topmetal1_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450168K) : topmetal1_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450296K) : topmetal1_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450296K) : topmetal1_slit has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450296K) : topmetal1_text has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450296K) : topmetal1_noqrc has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450424K) : topmetal1_res has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450424K) : topmetal1_iprobe has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450424K) : topmetal1_diffprb has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450552K) : inldpwl_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450552K) : polyres_drw has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450552K) : polyres_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450680K) : vmim_drw has 108 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450680K) : nbulaycut_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450680K) : antmetal1_drw has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450808K) : topvia2_drw has 488 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450808K) : topmetal2_drw has 11 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450936K) : topmetal2_pin has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450936K) : topmetal2_mask has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (450936K) : topmetal2_filler has 0 polygons
2026-03-26 17:50:45 +0100: Memory Usage (451064K) : topmetal2_nofill has 1 polygons
2026-03-26 17:50:45 +0100: Memory Usage (451064K) : topmetal2_slit has 0 polygons
