 2.41983662e+01  2.41983662e+01  2.41983662e+01  3.97443406e+02  2.41983662e+01  2.08466113e+03 
 2.49499431e+01  2.49499431e+01  2.49499431e+01  4.11915079e+02  2.49499431e+01  2.13077736e+03 
 2.50181071e+01  2.50181071e+01  2.50181071e+01  4.05713636e+02  2.50181071e+01  1.95606265e+03 
 2.51017036e+01  2.51017036e+01  2.51017036e+01  3.93975438e+02  2.51017036e+01  2.21943535e+03 
 2.44575496e+01  2.44575496e+01  2.44575496e+01  4.09498720e+02  2.44575496e+01  2.11673859e+03 
 2.51361881e+01  2.51361881e+01  2.51361881e+01  3.92229071e+02  2.51361881e+01  1.94491748e+03 
 2.52998798e+01  2.52998798e+01  2.52998798e+01  4.03236513e+02  2.52998798e+01  1.93163154e+03 
 2.55098348e+01  2.55098348e+01  2.55098348e+01  4.05322746e+02  2.55098348e+01  2.27774065e+03 
 2.50811148e+01  2.50811148e+01  2.50811148e+01  4.12407263e+02  2.50811148e+01  2.02174647e+03 
 2.54047987e+01  2.54047987e+01  2.54047987e+01  4.02525286e+02  2.54047987e+01  2.20425311e+03 
 2.46297079e+01  2.46297079e+01  2.46297079e+01  4.04639458e+02  2.46297079e+01  2.08766754e+03 
 2.46317706e+01  2.46317706e+01  2.46317706e+01  4.11443479e+02  2.46317706e+01  2.00965354e+03 
 2.47163138e+01  2.47163138e+01  2.47163138e+01  3.94550171e+02  2.47163138e+01  1.96572280e+03 
 2.47272089e+01  2.47272089e+01  2.47272089e+01  4.06348135e+02  2.47272089e+01  2.13363319e+03 
 2.54895101e+01  2.54895101e+01  2.54895101e+01  4.02078672e+02  2.54895101e+01  2.24424746e+03 
 2.50649123e+01  2.50649123e+01  2.50649123e+01  4.10155747e+02  2.50649123e+01  2.12349546e+03 
 2.49369400e+01  2.49369400e+01  2.49369400e+01  3.99839959e+02  2.49369400e+01  2.06135323e+03 
 2.50865166e+01  2.50865166e+01  2.50865166e+01  3.89115253e+02  2.50865166e+01  2.21705179e+03 
 2.46973977e+01  2.46973977e+01  2.46973977e+01  4.12268800e+02  2.46973977e+01  2.15492124e+03 
 2.47403215e+01  2.47403215e+01  2.47403215e+01  3.98377347e+02  2.47403215e+01  2.03749580e+03 
 2.48191618e+01  2.48191618e+01  2.48191618e+01  3.95128535e+02  2.48191618e+01  2.00698804e+03 
 2.46652979e+01  2.46652979e+01  2.46652979e+01  4.05309906e+02  2.46652979e+01  2.21747885e+03 
 2.46917948e+01  2.46917948e+01  2.46917948e+01  4.05645572e+02  2.46917948e+01  2.20834261e+03 
 2.49115263e+01  2.49115263e+01  2.49115263e+01  3.90378858e+02  2.49115263e+01  2.08036580e+03 
 2.49198062e+01  2.49198062e+01  2.49198062e+01  4.04239322e+02  2.49198062e+01  2.12605243e+03 
 2.46435168e+01  2.46435168e+01  2.46435168e+01  4.27813600e+02  2.46435168e+01  2.06078146e+03 
 2.55302810e+01  2.55302810e+01  2.55302810e+01  4.05254919e+02  2.55302810e+01  2.08162970e+03 
 2.43422750e+01  2.43422750e+01  2.43422750e+01  3.97612043e+02  2.43422750e+01  1.73852562e+03 
 2.46154563e+01  2.46154563e+01  2.46154563e+01  3.95260986e+02  2.46154563e+01  2.33840446e+03 
 2.48986572e+01  2.48986572e+01  2.48986572e+01  4.09656635e+02  2.48986572e+01  2.03987939e+03 
 2.50416573e+01  2.50416573e+01  2.50416573e+01  4.07425512e+02  2.50416573e+01  2.26024515e+03 
 2.51360412e+01  2.51360412e+01  2.51360412e+01  4.09457341e+02  2.51360412e+01  1.99965863e+03 
 2.50189632e+01  2.50189632e+01  2.50189632e+01  3.91606138e+02  2.50189632e+01  2.19060104e+03 
 2.41185021e+01  2.41185021e+01  2.41185021e+01  4.08721048e+02  2.41185021e+01  1.96135907e+03 
 2.46376930e+01  2.46376930e+01  2.46376930e+01  4.02018492e+02  2.46376930e+01  2.09634159e+03 
 2.46765616e+01  2.46765616e+01  2.46765616e+01  3.98332701e+02  2.46765616e+01  2.28989964e+03 
 2.53530107e+01  2.53530107e+01  2.53530107e+01  4.05893849e+02  2.53530107e+01  2.10182249e+03 
 2.47214769e+01  2.47214769e+01  2.47214769e+01  3.88089772e+02  2.47214769e+01  1.93704720e+03 
 2.50381033e+01  2.50381033e+01  2.50381033e+01  3.85987240e+02  2.50381033e+01  2.30293074e+03 
 2.54107228e+01  2.54107228e+01  2.54107228e+01  4.00327131e+02  2.54107228e+01  2.23717040e+03 
 2.48363741e+01  2.48363741e+01  2.48363741e+01  4.02421308e+02  2.48363741e+01  1.91797481e+03 
 2.46851606e+01  2.46851606e+01  2.46851606e+01  4.06421608e+02  2.46851606e+01  2.01626921e+03 
 2.47178249e+01  2.47178249e+01  2.47178249e+01  4.12093378e+02  2.47178249e+01  2.22448466e+03 
 2.48721946e+01  2.48721946e+01  2.48721946e+01  3.93359199e+02  2.48721946e+01  2.28519148e+03 
 2.52583824e+01  2.52583824e+01  2.52583824e+01  4.03226636e+02  2.52583824e+01  2.05243272e+03 
 2.50844684e+01  2.50844684e+01  2.50844684e+01  3.99076861e+02  2.50844684e+01  2.26362152e+03 
 2.50897197e+01  2.50897197e+01  2.50897197e+01  3.93665788e+02  2.50897197e+01  1.72916467e+03 
 2.52834037e+01  2.52834037e+01  2.52834037e+01  3.95907607e+02  2.52834037e+01  2.20848363e+03 
 2.49739233e+01  2.49739233e+01  2.49739233e+01  3.86862917e+02  2.49739233e+01  2.10946536e+03 
 2.47818475e+01  2.47818475e+01  2.47818475e+01  4.08417633e+02  2.47818475e+01  1.87930588e+03 
 2.48010821e+01  2.48010821e+01  2.48010821e+01  4.07191821e+02  2.48010821e+01  2.26384857e+03 
 2.50598060e+01  2.50598060e+01  2.50598060e+01  3.97323280e+02  2.50598060e+01  2.20547704e+03 
 2.53659925e+01  2.53659925e+01  2.53659925e+01  3.91610597e+02  2.53659925e+01  2.25484394e+03 
 2.49794470e+01  2.49794470e+01  2.49794470e+01  3.88186648e+02  2.49794470e+01  2.07570099e+03 
 2.50942517e+01  2.50942517e+01  2.50942517e+01  3.96413938e+02  2.50942517e+01  2.46256013e+03 
 2.49624416e+01  2.49624416e+01  2.49624416e+01  4.06852808e+02  2.49624416e+01  1.94029986e+03 
 2.46755809e+01  2.46755809e+01  2.46755809e+01  3.98943698e+02  2.46755809e+01  1.98483334e+03 
 2.51791118e+01  2.51791118e+01  2.51791118e+01  3.91216531e+02  2.51791118e+01  2.18380649e+03 
 2.53036799e+01  2.53036799e+01  2.53036799e+01  3.91141827e+02  2.53036799e+01  2.29830098e+03 
 2.52854817e+01  2.52854817e+01  2.52854817e+01  3.89266756e+02  2.52854817e+01  2.29507951e+03 
 2.49683729e+01  2.49683729e+01  2.49683729e+01  3.91671503e+02  2.49683729e+01  2.37297612e+03 
 2.46720202e+01  2.46720202e+01  2.46720202e+01  4.06727479e+02  2.46720202e+01  2.30277454e+03 
 2.50977847e+01  2.50977847e+01  2.50977847e+01  4.06388118e+02  2.50977847e+01  2.30257137e+03 
 2.51149526e+01  2.51149526e+01  2.51149526e+01  3.98366626e+02  2.51149526e+01  2.20632953e+03 
 2.42504198e+01  2.42504198e+01  2.42504198e+01  3.98342925e+02  2.42504198e+01  1.99872313e+03 
 2.54726885e+01  2.54726885e+01  2.54726885e+01  4.14217676e+02  2.54726885e+01  1.89749974e+03 
 2.43339729e+01  2.43339729e+01  2.43339729e+01  3.96173411e+02  2.43339729e+01  2.16043845e+03 
 2.43837946e+01  2.43837946e+01  2.43837946e+01  3.95229121e+02  2.43837946e+01  2.06401841e+03 
 2.43918900e+01  2.43918900e+01  2.43918900e+01  3.94636525e+02  2.43918900e+01  2.05679493e+03 
 2.53543841e+01  2.53543841e+01  2.53543841e+01  3.90615566e+02  2.53543841e+01  2.17748626e+03 
 2.50136781e+01  2.50136781e+01  2.50136781e+01  4.18868017e+02  2.50136781e+01  1.94088617e+03 
 2.50969565e+01  2.50969565e+01  2.50969565e+01  3.97191931e+02  2.50969565e+01  2.06794595e+03 
 2.50050939e+01  2.50050939e+01  2.50050939e+01  4.16548523e+02  2.50050939e+01  2.23818203e+03 
 2.49959727e+01  2.49959727e+01  2.49959727e+01  3.88489828e+02  2.49959727e+01  2.11075015e+03 
 2.50151874e+01  2.50151874e+01  2.50151874e+01  4.10376680e+02  2.50151874e+01  2.10981930e+03 
 2.45764471e+01  2.45764471e+01  2.45764471e+01  4.09089512e+02  2.45764471e+01  2.09267895e+03 
 2.51592161e+01  2.51592161e+01  2.51592161e+01  4.07516315e+02  2.51592161e+01  1.94222290e+03 
 2.51269930e+01  2.51269930e+01  2.51269930e+01  4.16974183e+02  2.51269930e+01  1.93197804e+03 
